50000 49999
1 24100 45
1 36824 29
1 17025 23
2 14126 49
3 14861 62
3 18520 5
5 29715 72
5 49868 96
6 2249 51
7 15687 58
7 46601 23
8 38147 59
8 40532 8
9 39024 56
10 46441 84
10 12762 50
11 32502 6
12 29092 18
13 35634 84
16 24206 53
17 36633 13
21 31875 79
21 834 76
22 8456 7
24 7324 8
24 36979 18
24 28120 95
25 26186 62
27 49156 93
28 33627 32
28 47522 78
29 18057 20
30 24900 68
31 7860 22
32 25155 52
33 5084 32
33 35586 11
33 5409 54
35 29472 64
36 19886 68
36 48238 44
38 8073 28
38 38677 45
38 48846 28
39 4820 21
39 13636 42
40 31934 7
40 35650 85
41 10136 22
42 7637 94
44 9906 49
44 29548 41
45 31933 8
45 22713 47
46 27095 43
46 19613 36
47 4570 34
48 16048 91
50 7581 34
51 30172 75
51 43988 17
52 48357 16
56 12029 21
56 2141 96
60 9097 22
60 17223 55
60 22 91
60 18472 67
64 47902 51
64 47746 98
64 30641 51
66 40133 38
69 36475 76
69 20962 47
70 24727 44
70 4417 78
72 18013 34
73 40453 76
73 46330 89
74 20543 71
74 21863 31
77 20864 39
77 44187 36
77 44234 73
78 3278 67
79 9492 100
79 30704 92
79 23240 83
80 48050 67
82 41805 3
83 14826 71
83 24188 42
83 28003 12
84 2240 12
84 35555 47
85 33963 57
87 1947 87
88 13801 50
89 9593 64
90 12303 8
90 35746 68
91 2344 43
91 17753 6
92 32365 50
93 23191 71
93 4396 61
97 3622 38
98 41766 19
99 19979 51
101 22599 5
101 47402 20
102 44081 25
104 48729 40
106 42187 67
109 31401 55
109 42961 58
109 18515 57
111 31134 94
112 29732 40
112 41038 71
115 37230 32
115 46808 23
115 29260 19
116 24053 23
118 12817 23
118 33319 68
120 6318 32
121 2945 65
123 21386 62
124 44562 4
125 2622 99
128 46291 83
128 12899 92
129 20524 57
129 1065 28
129 39558 43
130 47959 31
132 23178 63
132 12395 67
132 31708 64
133 19808 23
135 31806 56
135 38939 78
135 44029 22
136 11476 17
136 35726 61
137 8189 56
138 9343 26
139 35276 63
139 31287 44
140 465 52
142 29069 72
146 6452 58
146 7735 91
146 29933 86
146 40249 4
146 29259 53
147 34916 40
151 33430 99
152 10964 57
152 45906 8
154 25873 76
154 964 36
154 6049 75
156 12875 29
157 38297 82
159 47158 53
161 23914 73
161 7084 73
163 48700 99
164 32923 10
165 14207 12
165 38893 13
166 28413 8
167 20722 53
171 6686 5
176 34661 28
177 7112 2
177 39709 13
177 29331 73
179 13345 94
182 16327 18
183 47399 96
183 25178 16
184 1588 70
185 25298 19
187 25224 78
190 10331 96
190 16110 5
190 24590 42
190 44022 58
190 46859 99
190 29915 41
190 10336 20
191 18974 62
191 22074 31
192 34938 88
192 39854 47
192 47708 14
193 37040 3
194 32915 65
194 36445 68
194 45461 65
196 13990 95
196 48979 19
197 289 1
198 3653 50
199 28523 17
199 35405 24
199 42962 77
201 37495 46
201 38533 95
203 1851 60
205 26884 71
205 32492 27
205 28609 5
206 11727 51
207 41033 19
208 2454 44
210 41103 43
211 12563 71
213 8773 73
213 14961 6
213 1792 66
214 32876 68
216 38929 85
216 42980 13
217 29576 12
218 2158 48
218 44546 84
218 46606 54
219 20349 80
219 4476 56
219 43353 44
220 9382 80
222 31919 32
222 41898 10
222 43313 33
223 35647 5
223 36611 91
223 40191 55
224 46914 27
226 8486 50
226 237 15
227 34715 19
230 49561 84
230 7771 89
232 1708 79
233 5307 71
233 38165 68
234 38609 31
234 7936 30
235 47347 11
236 1093 36
237 23364 77
237 44303 76
238 13320 26
239 25488 5
242 17317 5
242 22787 45
242 32893 15
242 556 52
243 32704 51
243 28045 21
249 16165 48
251 15356 54
252 20510 20
254 9766 26
254 24301 32
255 7666 48
255 27647 94
256 547 45
256 4139 57
258 48336 62
259 30475 59
259 8804 80
260 6367 73
264 19620 88
264 35546 89
264 13194 34
264 49954 36
265 24243 11
265 47706 64
266 3939 44
267 39005 3
269 1316 88
270 28029 6
273 37464 4
273 42889 77
275 41927 97
276 47985 80
277 26295 63
277 2406 99
277 46702 16
278 20954 96
278 222 75
280 20674 35
281 36281 5
282 12075 99
283 20989 25
284 38186 65
285 45640 94
286 48097 41
287 14206 14
288 23531 30
288 42713 79
289 4296 60
290 13408 53
291 27175 53
293 4229 90
293 7302 1
293 47762 21
295 10624 31
295 42860 93
295 39791 85
295 7035 96
296 14634 6
296 49832 70
298 2562 43
298 28845 87
299 11653 62
300 32567 52
300 19544 71
301 33440 26
303 15524 43
303 15810 52
305 19177 16
305 46134 24
305 43462 38
308 38513 45
308 14595 38
308 24462 42
310 17133 94
310 38484 72
311 3280 43
312 25899 83
312 34992 99
313 16438 58
313 12239 16
315 24051 68
315 7123 8
315 41421 97
316 40512 15
318 10344 5
321 2726 75
321 7980 9
321 10141 90
322 3991 62
323 14142 57
324 39227 85
325 2901 84
326 15733 21
326 2118 56
327 27835 32
327 27035 94
327 42574 59
327 46893 39
328 8444 88
328 34080 74
331 32205 43
332 43590 51
333 19115 33
333 4190 82
334 46826 97
335 1705 70
336 13264 31
336 38908 66
336 32057 24
337 4595 93
337 6676 59
338 40676 35
339 45512 22
342 4770 32
343 48839 38
344 30406 15
345 22358 13
345 34385 31
345 20065 47
345 33599 88
345 17760 41
347 9717 48
348 43431 86
348 46630 11
349 21947 45
349 43800 94
351 27893 70
352 1633 72
352 20878 54
354 15249 47
358 33608 80
358 4116 22
359 27954 78
359 16648 100
360 2811 94
361 24741 80
363 35999 20
364 27997 26
365 35173 33
365 47167 83
367 10981 41
368 2123 47
369 29936 18
369 42478 69
369 44579 40
372 23647 30
374 16947 18
375 5473 97
377 25994 77
378 33654 36
379 5421 69
379 13251 24
380 35425 87
381 8454 97
381 14558 5
383 1835 60
383 23151 43
383 41179 78
383 41403 66
384 16495 57
384 34372 68
384 43951 28
385 6891 21
385 35399 3
388 8174 36
388 19725 52
389 42106 99
391 17425 61
392 25946 89
393 21593 9
393 2355 62
395 43518 77
395 44542 71
396 38002 64
396 660 88
397 32954 34
398 23079 93
398 29793 58
399 42170 99
401 28962 40
401 4008 1
402 40557 33
403 26975 81
404 15958 51
407 20359 14
410 1567 41
412 4862 88
413 45412 28
414 5411 44
414 38631 98
416 37895 67
418 19506 85
420 36648 76
421 33034 79
422 8497 63
423 26617 7
423 40183 22
423 45050 49
424 31941 25
424 34742 90
427 25280 59
428 13493 13
428 26786 13
429 27385 11
429 21313 23
430 43992 58
430 29291 40
431 1039 1
432 30395 57
438 12956 56
442 20883 59
442 48093 51
444 33533 79
445 43026 8
446 16582 74
446 44807 64
447 47731 48
449 5372 74
449 4042 4
451 41485 45
452 25867 76
452 49557 20
454 7567 36
455 27051 37
456 745 76
457 20894 91
458 35179 78
458 48089 83
460 13354 47
461 6206 34
461 661 28
461 4704 87
463 10306 73
463 40147 11
464 5300 23
465 20410 99
467 14367 51
468 28441 84
469 16505 8
470 21473 6
470 24894 27
473 22112 59
474 8100 37
476 36938 94
477 18956 3
479 13578 63
480 14258 5
481 41876 22
481 4567 85
482 5666 47
482 4559 21
483 43452 20
484 11292 46
484 18175 75
486 21075 80
487 3112 4
487 1389 81
487 9219 43
487 43336 60
488 38554 61
489 19690 21
491 8841 48
492 9305 12
495 9793 89
496 10038 24
497 28947 34
498 31650 12
498 22906 17
501 3957 55
502 25044 72
507 25829 44
507 30633 13
508 11130 84
508 38851 7
509 36585 96
510 24729 31
510 8282 11
512 26998 37
513 2684 80
514 46279 57
514 49376 15
516 15536 73
516 42465 3
519 22853 83
519 12004 28
520 40598 79
520 45587 11
522 18445 38
522 4095 29
522 11023 13
523 49715 5
524 5731 93
525 12006 22
526 39429 90
527 22091 13
527 48727 95
529 34450 85
530 10386 10
533 41672 92
534 2367 24
535 9346 93
535 5749 42
537 12003 65
537 16823 24
537 29484 38
538 25965 67
539 2163 80
540 34302 14
543 46047 59
545 10777 49
545 27701 2
546 46298 27
546 38545 35
548 30009 63
548 43321 17
550 11483 74
551 46064 96
552 6098 33
553 8446 59
554 30934 38
556 39852 92
556 44328 5
557 25858 90
557 26596 34
560 35752 33
560 890 61
562 32698 55
563 14074 34
564 5591 1
564 32591 29
564 19899 58
565 38502 96
565 21689 12
568 49114 98
570 14418 18
571 31582 58
571 16516 78
573 35531 93
575 26205 18
576 42495 14
576 8029 93
578 48227 28
578 28624 37
579 43511 17
580 25100 96
581 34689 89
581 42591 2
582 14963 61
583 14324 32
583 23021 13
583 43371 66
584 31348 95
585 48263 79
588 46271 55
590 44430 41
592 27511 94
595 20793 81
597 46715 98
598 44296 27
600 8286 60
601 37942 11
601 20262 28
601 18658 82
602 16089 15
602 27255 75
603 1847 34
604 46814 80
605 44758 46
605 47387 84
608 4967 58
609 29703 99
609 44727 79
611 36171 70
612 2008 79
612 37242 55
613 6948 77
613 13042 80
614 42373 88
615 7259 5
615 2125 54
616 17266 98
616 26939 99
616 47865 19
617 6107 23
617 10729 56
617 47738 18
618 36805 33
618 27482 69
619 49822 27
620 23265 52
622 29883 44
623 33066 38
625 45612 62
626 22592 59
626 2056 59
627 25416 65
628 321 6
630 47966 49
632 39270 66
634 16261 89
634 21579 97
635 36070 85
636 15851 78
638 32855 80
640 47801 35
641 41666 20
641 9965 8
643 9486 76
643 44501 35
644 1481 33
645 9412 64
646 11349 26
647 26919 73
647 39272 56
647 49248 53
648 10694 86
648 18324 55
648 22845 14
649 23284 76
649 9654 32
651 3135 80
651 847 91
655 44976 27
658 12578 21
659 18856 95
659 25874 19
660 15236 51
661 47022 33
662 25986 74
662 22354 5
663 6397 47
670 35668 61
670 24013 60
671 42909 15
672 49061 57
676 17225 58
676 42509 51
676 44646 13
677 14609 92
678 32090 42
679 40923 85
679 44782 69
679 47242 14
679 11480 53
681 21394 49
683 23229 11
683 7598 91
683 48651 85
684 26645 60
684 19480 97
685 16557 92
685 9210 23
685 45921 75
686 20004 38
686 30332 30
686 47035 59
687 3728 76
687 37780 49
688 23138 38
688 46603 86
688 19140 97
689 43483 31
690 47372 2
690 13588 57
691 27351 48
691 49452 10
692 15328 18
692 43742 62
693 46397 14
693 25808 92
695 17189 57
695 25564 83
696 35286 37
696 37553 58
696 39857 88
696 45166 100
699 10709 96
700 33104 100
700 39367 63
701 38011 64
702 26276 70
704 6359 65
704 28282 19
704 42722 84
704 17621 28
705 31373 28
706 489 52
707 38146 62
708 4738 86
708 39248 86
711 1412 49
711 43345 71
711 26317 41
714 32289 57
715 26502 69
716 31804 35
716 6880 7
718 34597 77
719 45133 5
721 39967 60
722 26843 38
723 20383 37
724 18070 89
724 18602 60
724 44323 91
727 7308 84
728 29836 23
729 21534 66
729 40288 64
729 37223 60
730 29786 95
730 12260 73
733 42971 37
733 33919 17
736 8988 98
736 1652 53
736 32877 49
736 22008 34
738 33387 8
740 45878 1
743 1092 81
744 5339 18
747 30889 93
750 42360 60
751 200 21
751 27002 67
752 2614 84
752 10646 8
752 31914 73
752 33149 23
753 10378 24
753 21402 63
753 12698 64
754 43790 7
755 25556 80
756 9220 33
756 5102 100
756 38181 21
757 23819 82
757 43229 67
757 23989 51
758 29783 78
758 30029 34
763 12253 63
765 6924 61
766 7694 46
767 7586 97
767 3064 26
769 11093 58
770 14909 43
771 19624 68
771 42431 31
772 19108 64
772 24773 83
773 3042 65
773 12081 57
773 16572 46
774 26460 20
775 31644 22
777 2201 14
778 3040 94
778 19434 23
779 14526 44
780 35625 34
780 12256 60
781 1535 74
781 17035 83
782 32919 91
782 37671 81
782 8574 24
782 6158 56
