4000 20000
1 2 10
1 958 23
1 296 60
1 1271 13
1 461 24
2 3 35
2 2130 38
2 1694 25
2 3950 25
3 4 19
3 3133 6
3 401 55
3 3731 75
3 3893 94
3 2954 58
3 3846 72
3 3550 34
4 5 26
4 1563 77
4 2300 52
4 3942 14
4 2228 37
4 3414 32
5 6 54
5 505 44
5 2020 64
6 7 50
6 3558 13
6 3453 97
6 439 30
6 3787 53
6 2822 27
6 3038 89
6 2339 64
7 8 50
7 2729 95
7 3220 79
8 9 56
8 115 57
8 2928 66
8 584 44
8 2365 63
8 2263 57
9 10 62
9 1331 94
9 3578 73
9 3252 60
10 11 15
10 3581 44
10 3842 39
11 12 75
11 105 55
11 3237 21
12 13 44
12 640 14
12 912 44
13 14 57
13 1196 15
13 3168 53
13 2480 70
13 846 14
14 15 95
14 2663 50
14 3983 32
14 199 52
14 58 7
14 3233 61
14 1188 43
15 16 36
15 3314 87
15 3597 19
15 3022 51
15 651 84
16 17 60
16 3439 58
16 3660 16
16 1552 96
16 1382 95
17 18 30
17 2374 67
17 1407 55
17 3749 96
17 2249 26
18 19 96
18 1715 84
18 2441 49
18 217 96
18 1264 32
19 20 65
19 3920 65
19 3257 38
19 904 6
19 2378 55
19 774 41
19 3605 79
20 21 97
20 2457 51
20 300 87
20 929 58
20 2456 85
20 2900 4
20 4 54
20 1986 73
21 22 3
21 2789 82
21 3952 74
21 974 97
21 1951 68
21 2669 7
21 3959 99
22 23 8
22 163 22
22 14 23
22 3335 30
22 3827 64
22 1424 89
22 2016 96
22 2920 12
22 2854 23
22 1530 35
22 2811 16
23 24 29
23 579 31
23 2197 77
24 25 87
24 2979 16
24 3894 71
24 636 16
24 97 64
25 26 90
25 1991 26
25 1464 44
26 27 55
26 3994 62
26 3549 9
26 2464 38
27 28 60
27 2271 99
27 3660 26
27 3740 46
27 3172 56
27 1017 34
27 770 80
28 29 77
28 2261 44
29 30 56
29 1035 8
29 2204 37
29 2263 98
30 31 16
30 2959 7
30 2091 88
30 595 43
30 3369 98
31 32 65
31 662 34
32 33 57
32 2508 17
32 379 94
33 34 78
33 528 56
34 35 69
34 169 7
34 972 30
35 36 62
35 262 76
35 2401 28
35 2584 8
35 449 56
36 37 15
36 2451 92
36 830 47
36 1201 34
36 2307 72
36 2009 22
37 38 64
37 2444 27
38 39 96
38 2758 80
38 2459 92
38 424 35
38 687 28
38 2471 4
38 1517 32
39 40 47
39 921 94
39 2020 52
39 1749 64
39 1260 76
39 864 41
39 279 95
39 1697 71
39 1321 68
40 41 15
40 3651 92
40 111 13
40 258 95
40 209 56
40 1708 45
40 1238 77
41 42 91
41 3166 80
41 3285 20
41 1576 99
41 763 19
42 43 1
42 2174 20
43 44 33
43 3683 25
43 1859 66
43 700 63
43 1717 56
43 2515 18
43 3621 99
44 45 44
44 2283 75
45 46 46
45 2180 78
45 2121 43
45 1573 95
45 298 38
45 184 54
46 47 55
46 3000 59
46 1926 81
46 1887 69
46 435 36
47 48 17
47 972 37
47 1319 28
48 49 41
48 2532 33
48 2839 73
49 50 70
49 2089 2
49 2888 3
49 2904 68
49 1320 50
50 51 41
50 2676 13
50 1028 7
50 492 85
50 3779 3
50 751 83
51 52 44
51 1937 24
51 1391 40
51 1510 33
51 2526 40
51 616 24
51 1475 75
51 556 7
51 3530 81
52 53 39
52 3917 63
52 2925 58
53 54 36
53 3757 85
53 2100 11
53 2351 55
53 2008 21
53 1383 27
53 1992 7
54 55 23
54 2136 61
55 56 36
55 2278 13
55 856 11
55 1079 54
56 57 4
56 2274 52
56 65 53
56 765 20
57 58 95
57 967 99
57 3820 43
57 2088 19
57 1636 10
57 1600 12
58 59 91
58 1435 72
58 3041 71
58 2319 16
59 60 64
59 50 4
59 823 62
59 1962 38
59 2680 2
59 3108 44
59 1733 92
59 3838 41
59 1189 99
